index,x,y,z,length,width,height
1,0,0,0,200,210,30
2,0,0,50,27,110,170
3,27,0,50,27,110,170
4,54,0,50,27,110,170
5,81,0,50,27,110,170
6,108,0,50,27,110,170
7,135,0,50,27,110,170
8,0,0,220,110,27,170
container,,,,300, 250, 50
